更新时间,#genre#
2024-10-23 18:14:29,url
📺央视频道,#genre#
CCTV-17,http://120.55.49.231:3095/rtp/233.50.201.35:5140
CCTV-17,http://60.164.128.167:8029/rtp/239.255.30.96:8231
CCTV-17,http://122.9.151.210:887/rtp/238.255.2.137:5999
📡卫视频道,#genre#
广东卫视,http://221.205.129.74:9999/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://221.205.129.229:9999/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://221.205.130.91:9999/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://36.40.237.103:9999/tsfile/live/0131_2.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://139.196.151.191:2051/rtp/239.45.3.230:5140
广东卫视,http://110.177.146.171:888/rtp/239.1.1.49:8049
广东卫视,http://120.55.49.231:3095/rtp/233.50.200.187:5140
广东卫视,http://120.55.49.231:3095/rtp/233.50.201.56:5140
广东卫视,http://60.164.128.167:8029/rtp/239.255.30.134:8231
广东卫视,http://122.9.151.210:887/rtp/238.255.2.59:5999
浙江卫视,http://221.205.130.91:9999/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.205.129.229:9999/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://36.40.237.103:9999/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://221.205.129.74:9999/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://139.196.151.191:2051/rtp/239.45.3.178:5140
浙江卫视,http://110.177.146.171:888/rtp/239.1.1.38:8038
浙江卫视,http://120.55.49.231:3095/rtp/233.50.200.231:5140
浙江卫视,http://120.55.49.231:3095/rtp/233.50.201.100:5140
浙江卫视,http://60.164.128.167:8029/rtp/239.255.30.132:8231
浙江卫视,http://122.9.151.210:887/rtp/238.255.2.100:5999
湖南卫视,http://221.205.129.229:9999/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
